Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	Effort	Time	Volume	HalsteadBugs	Difficulty	file
2808	8#8#8	0.2669401168823242#0.2669401168823242#0.2669401168823242	0.675632584847265#0.675632584847265#0.675632584847265	2#2#2	1#1#1	3#3#3	3#3#3	3.87#3.87#3.87	2#2#2	2#2#2	37.0#37.0#37.0	110.15101623535156#110.15101623535156#110.15101623535156	0#0#0	1#1#1	1#1#1	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#8#7	0#0#0	0#0#0	0#0#0	2080.2017#2080.2017#2080.2017	115.56676#115.56676#115.56676	162.51575#162.51575#162.51575	0.054171916#0.054171916#0.054171916	12.8#12.8#12.8	getContainer.json
4886	4#4#4#4#4	0.45284315943717957#0.45284315943717957#0.45284315943717957#0.21276940405368805#0.16614557802677155	0.866834867482268#0.866834867482268#0.866834867482268#0.7977274238685051#0.8412707563184095	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	1.73#1.73#1.73#1.73#1.73	0#0#0#0#0	0#0#0#1#1	14.0#14.0#14.0#17.0#16.0	127.78498840332031#127.78498840332031#127.78498840332031#126.62725830078125#127.09062194824219	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#161#960#1080#1387	0#0#0#1#1	0#0#0#2#2	0#0#0#21#13	0#0#0#21#13	0#0#6#7#1	0#0#0#0#0	0#0#0#1#0	0#0#0#1#0	284.93387#284.93387#284.93387#388.35022#325.6387	15.829659#15.829659#15.829659#21.575012#18.09104	51.806156#51.806156#51.806156#64.72504#59.207035	0.01726872#0.01726872#0.01726872#0.021575011#0.019735679	5.5#5.5#5.5#6.0#5.5	getAbsoluteUsedCapacity.json
5147	3#3#3#3#3#6	0.7866633534431458#0.8511800169944763#0.8511800169944763#0.6520037651062012#0.6520037651062012#0.43465039134025574	0.9324798794515856#0.9478255012428375#0.9478255012428375#0.9114183132781042#0.9114183132781042#0.6503422202871252	0#0#0#0#0#1	0#0#0#0#0#1	0#0#0#0#0#2	1#1#1#1#1#2	1.89#1.89#1.89#1.89#1.89#2.75	0#0#0#0#0#1	0#0#0#0#0#2	11.0#12.0#12.0#14.0#14.0#31.0	134.26058959960938#133.59722900390625#133.59722900390625#132.4454345703125#132.4454345703125#116.231689453125	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#67#73#139#422#1202	0#2#0#1#0#4	0#4#0#2#0#5	0#24#0#5#0#88	0#24#0#5#0#88	0#69#0#3#0#8	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	127.894226#186.80931#186.80931#284.93387#284.93387#1292.6769	7.1052346#10.378295#10.378295#15.829659#15.829659#71.815384	36.541206#41.51318#41.51318#51.806156#51.806156#129.26768	0.012180402#0.013837727#0.013837727#0.01726872#0.01726872#0.04308923	3.5#4.5#4.5#5.5#5.5#10.0	getResource.json
4189	5	0.11818034201860428	0.19789507625353508	0	0	0	1	1.96	0	4	34.0	118.31221771240234	0	0	0	0	0	0	0	0	0	0	0	0	1757.9645	97.664696	159.81496	0.05327165	11.0	getApplications.json
3424	10	0.044753119349479675	0.0040601530491341555	2	2	4	3	2.53	1	2	69.0	102.57572174072266	0	2	1	0	0	0	0	0	0	0	0	0	8817.602	489.86676	348.0632	0.11602107	25.333334	getBlockLocations.json
4032	3	0.7276530265808105	0.9156573458202666	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getApplicationType.json
5147	8#8#8#11	0.2940981090068817#0.2940981090068817#0.2940981090068817#0.3064092695713043	0.04922084121037599#0.04922084121037599#0.04922084121037599#0.12382456403273379	2#2#2#2	2#2#2#2	4#4#4#4	3#3#3#3	2.4#2.4#2.4#2.41	0#0#0#1	4#4#4#4	53.0#53.0#53.0#55.0	107.86982727050781#107.86982727050781#107.86982727050781#102.51826477050781	0#0#0#0	1#1#1#1	2#2#2#2	0#68#73#1865	0#0#0#5	0#0#0#7	0#0#0#24	0#0#0#24	0#0#0#2	0#0#0#0	0#0#0#0	0#0#0#0	6098.619#6098.619#6098.619#6328.756	338.81216#338.81216#338.81216#351.59753	252.00905#252.00905#252.00905#261.51883	0.08400302#0.08400302#0.08400302#0.08717294	24.2#24.2#24.2#24.2	getNumStorageDirs.json
4967	17#17#18#20#23#26#26#26#30#28#31#31#31#33#36#39#40#42#39#39#35	2.658675075508654E-4#2.499660477042198E-4#0.0#6.78457785397768E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	1.166189093619744E-10#1.0385171090654634E-10#9.292698999304771E-13#1.8319511839244432E-9#4.289756556914715E-12#1.48808363601732E-12#1.5094554499111293E-12#2.0991413698026186E-13#1.884801037356712E-14#4.254757681015256E-14#1.5404717400209102E-15#6.985775481105577E-17#6.092772932299665E-17#1.2852598754809249E-18#1.5985290639754845E-20#2.0644579763099274E-22#9.602919449853088E-24#1.3880078470037362E-24#2.0644579763099274E-22#5.953304486065471E-23#3.1710306068023075E-22	0#0#0#0#0#2#2#2#3#3#4#4#4#5#6#7#7#9#7#7#7	0#0#0#0#0#2#2#2#3#3#4#4#4#5#6#7#7#9#7#7#7	0#0#0#0#0#4#4#4#6#6#8#8#8#10#12#14#14#18#14#14#14	3#3#3#4#5#6#6#6#7#6#7#7#7#8#9#10#10#11#10#10#9	2.56#2.56#2.48#2.5#2.45#2.4#2.4#2.4#2.33#2.32#2.29#2.29#2.29#2.3#2.27#2.25#2.23#2.23#2.25#2.25#2.24	1#1#1#1#1#1#1#1#1#1#1#1#1#2#2#2#2#2#2#2#2	17#17#22#15#19#19#19#21#22#22#24#26#26#29#32#35#37#38#35#36#36	157.0#157.0#179.0#152.0#185.0#194.0#194.0#203.0#220.0#212.0#231.0#243.0#243.0#263.0#285.0#307.0#320.0#331.0#307.0#312.0#301.0	88.78296661376953#88.76398468017578#87.04920196533203#86.16818237304688#82.53502655029297#80.0179672241211#80.0179672241211#79.76483154296875#76.73197174072266#78.27227020263672#75.88485717773438#75.56305694580078#75.54898071289062#73.85385131835938#71.71944427490234#69.74635314941406#69.07537078857422#67.85743713378906#69.74635314941406#69.65084838867188#71.89178466796875	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	8#8#8#5#6#7#7#7#7#7#8#9#9#9#10#11#12#12#11#11#11	5#5#6#6#7#6#6#6#7#6#6#6#6#6#6#6#6#6#6#6#6	0#4#57#60#630#682#703#785#789#962#1165#1281#1382#1447#1873#1928#2438#2438#2438#3636#4326	0#1#2#6#4#6#5#1#5#1#4#3#2#3#4#4#2#4#1#1#1	0#2#3#10#5#9#10#2#6#4#5#6#4#4#5#5#3#6#5#2#6	0#8#229#385#206#149#22#50#179#64#190#131#12#139#153#153#143#178#277#22#111	0#8#229#385#206#149#22#50#179#64#190#131#12#139#153#153#143#178#277#22#111	0#1#1#2#2#1#1#1#1#1#1#2#1#1#1#1#1#1#1#1#2	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	38630.91#39653.383#50587.082#36865.465#54080.63#65201.273#65201.273#72823.25#83650.33#82711.914#101045.766#114248.68#109975.99#134475.06#165686.56#197581.14#217254.16#237784.75#197581.14#206835.9#200888.28	2146.1616#2202.9658#2810.3936#2048.0813#3004.4795#3622.293#3622.293#4045.736#4647.24#4595.1064#5613.654#6347.149#6109.7773#7470.837#9204.809#10976.73#12069.676#13210.264#10976.73#11490.884#11160.46	945.5118#948.96985#1104.4166#901.4721#1122.2264#1189.0809#1189.0809#1248.3986#1370.3402#1320.5096#1456.1733#1549.1346#1553.3331#1694.4941#1863.6603#2030.716#2135.176#2217.8457#2030.716#2068.3591#1968.2869	0.3151706#0.31632328#0.36813888#0.3004907#0.37407547#0.3963603#0.3963603#0.41613287#0.45678008#0.44016987#0.4853911#0.5163782#0.5177777#0.5648314#0.6212201#0.67690533#0.71172535#0.7392819#0.67690533#0.68945307#0.6560956	40.857143#41.785713#45.804348#40.894737#48.19048#54.833336#54.833336#58.333332#61.043476#62.63636#69.391304#73.75#70.8#79.36#88.90385#97.296295#101.75#107.21429#97.296295#100.0#102.0625	sendHeartbeat.json
1364	4	0.8571035861968994	0.9254906813686963	0	0	0	1	1.73	0	0	13.0	128.335205078125	0	0	0	0	0	0	0	0	0	0	0	0	233.02258	12.945699	46.604515	0.015534839	5.0	getRealUser.json
5902	3#3#3#3#4#7	0.8754819631576538#0.8754819631576538#0.8754819631576538#0.8754819631576538#0.8567899465560913#0.8122632503509521	0.38976154497126453#0.38976154497126453#0.38976154497126453#0.38976154497126453#0.39397660913781046#0.10285695357223774	0#0#0#0#0#1	0#0#0#0#0#1	0#0#0#0#0#2	1#1#1#1#1#2	1.89#1.89#1.89#1.89#1.73#2.8	0#0#0#0#0#1	1#1#1#1#1#1	27.0#27.0#27.0#27.0#28.0#43.0	128.4090576171875#128.4090576171875#128.4090576171875#128.4090576171875#123.46312713623047#111.47318267822266	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#755#806#828#1194#1872	0#0#0#0#1#3	0#0#0#0#1#3	0#0#0#0#10#97	0#0#0#0#10#97	0#72#1#0#1#1	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	788.11584#788.11584#788.11584#788.11584#892.06476#2213.1843	43.784214#43.784214#43.784214#43.784214#49.559155#122.95468	112.58798#112.58798#112.58798#112.58798#118.94197#199.6858	0.037529327#0.037529327#0.037529327#0.037529327#0.039647322#0.06656194	7.0#7.0#7.0#7.0#7.5#11.083333	getPos.json
5147	4#4#4	0.8550172448158264#0.860304057598114#0.860304057598114	0.914532203062148#0.9092520770914155#0.9092520770914155	0#0#0	0#0#0	0#0#0	1#1#1	1.73#1.73#1.73	0#0#0	0#0#0	13.0#13.0#13.0	128.335205078125#128.335205078125#128.335205078125	0#0#0	0#0#0	0#0#0	0#67#73	0#1#0	0#2#0	0#4#0	0#4#0	0#69#0	0#0#0	0#0#0	0#0#0	233.02258#233.02258#233.02258	12.945699#12.945699#12.945699	46.604515#46.604515#46.604515	0.015534839#0.015534839#0.015534839	5.0#5.0#5.0	isMapTask.json
4173	4#4	0.1798042505979538#0.19112016260623932	0.8886787558839845#0.880636544681601	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#1	15.0#16.0	127.27810668945312#127.09062194824219	0#0	0#0	0#0	0#1260	0#1	0#2	0#19	0#19	0#8	0#0	0#0	0#0	342.66196#325.6387	19.036776#18.09104	57.110325#59.207035	0.019036775#0.019735679	6.0#5.5	getConfigurationProvider.json
2493	3#3	0.3055518567562103#0.3832229673862457	0.2372949454089171#0.4433474154140221	0#0	0#0	0#0	1#1	1.89#1.89	0#0	1#1	25.0#20.0	128.53907775878906#129.9696044921875	0#0	1#1	0#0	0#0	0#2	0#4	0#34	0#34	0#3	0#0	0#0	0#0	960.8194#542.0903	53.378857#30.116127	109.80793#83.398506	0.036602642#0.027799502	8.75#6.5	getAuthType.json
5080	7#7#7#7#7#7#7#7#7	0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	0.0031057979107072128#0.0031057979107072128#0.0031057979107072128#0.002992772907566049#0.002992772907566049#0.004405074490420371#0.004034622265805033#0.002068056514327247#8.000580216789282E-4	1#1#1#1#1#1#1#1#1	1#1#1#1#1#1#1#1#1	2#2#2#2#2#2#2#2#2	2#2#2#2#2#2#2#2#2	2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56#2.56	1#1#1#1#1#1#1#1#1	6#6#6#6#6#6#6#6#7	68.0#68.0#68.0#68.0#68.0#65.0#65.0#68.0#73.0	108.91004943847656#108.91004943847656#108.91004943847656#108.91004943847656#108.91004943847656#109.09020233154297#109.09020233154297#108.75359344482422#108.3367919921875	0#0#0#0#0#0#0#0#0	5#5#5#5#5#4#4#5#5	0#0#0#0#0#0#0#0#0	0#6#33#333#355#1436#1804#1908#2132	0#0#2#1#0#4#3#2#1	0#0#4#2#0#8#6#4#2	0#0#173#8#0#74#46#40#21	0#0#173#8#0#74#46#40#21	0#0#1#1#0#3#1#1#1	0#0#0#0#0#0#0#0#0	0#0#1#0#0#0#0#0#0	0#0#1#0#0#0#0#0#0	11387.022#11387.022#11387.022#11387.022#11387.022#9683.576#9683.576#9817.802#11732.143	632.61237#632.61237#632.61237#632.61237#632.61237#537.97644#537.97644#545.4334#651.7857	326.90015#326.90015#326.90015#326.90015#326.90015#315.76877#315.76877#336.88535#365.0	0.108966716#0.108966716#0.108966716#0.108966716#0.108966716#0.10525626#0.10525626#0.11229511#0.12166667	34.833336#34.833336#34.833336#34.833336#34.833336#30.666668#30.666668#29.142857#32.142857	reserve.json
5147	3#3#3	0.6161932945251465#0.6161932945251465#0.6161932945251465	0.8631026000158442#0.8631026000158442#0.8631026000158442	0#0#0	0#0#0	0#0#0	1#1#1	1.89#1.89#1.89	0#0#0	1#1#1	15.0#15.0#15.0	132.25152587890625#132.25152587890625#132.25152587890625	0#0#0	0#0#0	0#0#0	0#67#73	0#0#0	0#0#0	0#0#0	0#0#0	0#69#0	0#0#0	0#0#0	0#0#0	268.8722#268.8722#268.8722	14.937344#14.937344#14.937344	53.77444#53.77444#53.77444	0.017924814#0.017924814#0.017924814	5.0#5.0#5.0	getTaskType.json
1310	3	0.37722960114479065	0.9158008096830863	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getQueueContext.json
2751	3	0.4133714437484741	0.9402892288912731	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getNodeStatusUpdater.json
5080	4#4#4#4	0.5645650625228882#0.5645650625228882#0.6071741580963135#0.5549055933952332	0.8227785338982782#0.8227785338982782#0.836078814011739#0.5449464869594709	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.73#1.73#1.73#1.73	0#0#0#0	1#1#1#2	16.0#16.0#16.0#24.0	126.94251251220703#126.94251251220703#126.94251251220703#124.361083984375	0#0#0#0	0#0#0#0	0#0#0#0	0#6#61#104	0#0#1#1	0#0#2#2	0#0#8#30	0#0#8#30	0#0#5#1	0#0#0#0	0#0#0#0	0#0#0#0	365.50607#365.50607#365.50607#875.68427	20.305893#20.305893#20.305893#48.649124	60.91768#60.91768#60.91768#100.0782	0.020305892#0.020305892#0.020305892#0.0333594	6.0#6.0#6.0#8.75	getAssignedContainerMgrAddress.json
5080	12#12#12#12#12#12#12	0.1804935336112976#0.1804935336112976#0.06422983109951019#0.06800951808691025#0.06800951808691025#0.06980101764202118#0.0437416173517704	0.004154819087479431#0.004154819087479431#9.193606030392007E-4#8.858936415598146E-4#8.858936415598146E-4#8.797063627212455E-4#8.613307604571851E-4	1#1#1#1#1#1#1	1#1#1#1#1#1#1	2#2#2#2#2#2#2	3#3#3#3#3#3#3	2.56#2.56#2.56#2.56#2.56#2.56#2.56	1#1#1#1#1#1#1	5#5#5#5#5#5#5	69.0#69.0#77.0#77.0#77.0#77.0#77.0	99.41642761230469#99.41642761230469#98.80899047851562#98.80899047851562#98.80899047851562#98.80899047851562#98.80899047851562	0#0#0#0#0#0#0	1#1#1#1#1#1#1	1#1#1#1#1#1#1	0#6#21#97#355#655#2766	0#0#3#1#0#1#1	0#0#6#2#0#2#2	0#0#81#5#0#7#4	0#0#81#5#0#7#4	0#0#1#1#0#7#2	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	8111.197#8111.197#9614.808#9614.808#9614.808#9614.808#9614.808	450.62204#450.62204#534.156#534.156#534.156#534.156#534.156	362.107#362.107#406.97598#406.97598#406.97598#406.97598#406.97598	0.120702334#0.120702334#0.13565867#0.13565867#0.13565867#0.13565867#0.13565867	22.4#22.4#23.625#23.625#23.625#23.625#23.625	create.json
3893	3#3#3#3	0.9523283243179321#0.947721540927887#0.9523283243179321#0.9605280756950378	0.6976887812674504#0.7052150772396841#0.6976887812674504#0.6986534150356101	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	1.89#1.89#1.89#1.89	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	1#1#1#1	0#0#0#0	0#3355#3355#3357	0#1#1#1	0#2#2#2	0#9#9#23	0#9#9#23	0#4#4#4	0#0#0#0	0#0#0#0	0#0#0#0	259.0308#259.0308#259.0308#259.0308	14.390599#14.390599#14.390599#14.390599	51.806156#51.806156#51.806156#51.806156	0.01726872#0.01726872#0.01726872#0.01726872	5.0#5.0#5.0#5.0	getInstantaneousMaxCapacity.json
5080	9#9#9#15	0.17897722125053406#0.17897722125053406#0.17897722125053406#0.06989966332912445	0.775212871757639#0.775212871757639#0.775212871757639#0.07118882394434758	0#0#0#3	0#0#0#3	0#0#0#6	1#1#1#3	2.95#2.95#2.95#4.77	1#1#1#3	2#2#2#6	33.0#33.0#33.0#68.0	109.4716796875#109.4716796875#109.4716796875#96.2789077758789	0#0#0#0	0#0#0#0	0#0#0#1	0#6#355#1579	0#0#0#6	0#0#0#6	0#0#0#297	0#0#0#297	0#0#0#1	0#0#0#0	0#0#0#0	0#0#0#0	1495.2705#1495.2705#1495.2705#8258.567	83.07059#83.07059#83.07059#458.8093	140.18161#140.18161#140.18161#330.3427	0.046727203#0.046727203#0.046727203#0.11011424	10.666667#10.666667#10.666667#25.0	getDiagnostics.json
5054	4#4	0.8850474953651428#0.6311878561973572	0.9052643881801493#0.7742735229445462	0#0	0#0	0#0	1#1	1.73#1.73	0#0	0#1	13.0#18.0	128.335205078125#126.19583892822266	0#0	0#0	0#0	0#217	0#2	0#4	0#46	0#46	0#2	0#0	0#1	0#1	233.02258#457.10617	12.945699#25.394787	46.604515#70.32403	0.015534839#0.023441343	5.0#6.5	loadConfFile.json
4576	35#34#34#34#34#34#37#37#40#41#41#41#50#50#69#72#72#74#74#74#74#111#108#112#95#95#95#98#104#109	1.9997783238068223E-4#1.6925096861086786E-4#1.402897178195417E-4#1.411144039593637E-4#1.5976131544448435E-4#1.3628537999466062E-4#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0#0.0	5.520927589677196E-9#2.735741924323055E-8#1.560421923670552E-8#1.587721325037426E-8#1.596458544151845E-8#1.0821105077305226E-8#1.0140141043750161E-9#1.0140141043750161E-9#1.4004640482970157E-13#9.182669600305151E-15#1.1238282723055059E-14#2.0158861953733597E-14#2.536637548300564E-21#1.330778129379977E-21#9.913398490857735E-32#6.222181131820986E-33#1.6351216617671332E-33#7.975721028742136E-34#1.1586662362828358E-32#7.975721028742136E-34#1.1586662362828358E-32#7.303501170607361E-62#1.7649668235826244E-61#5.224610055782471E-64#4.828814846941549E-45#2.0919169976956878E-47#2.532529692253222E-47#5.003246824178805E-49#1.6639593613435524E-55#4.650130383691262E-58	3#3#3#3#3#3#4#4#4#4#4#4#6#6#9#10#10#9#7#9#7#14#15#15#12#12#12#12#12#13	2#2#2#2#2#2#3#3#3#3#3#3#5#5#8#9#9#8#6#8#6#10#11#11#10#10#10#10#10#11	5#5#5#5#5#5#7#7#7#7#7#7#11#11#17#19#19#17#13#17#13#24#26#26#22#22#22#22#22#24	4#4#4#4#4#4#5#5#6#6#6#6#7#7#12#13#13#13#12#13#12#19#17#18#15#15#15#15#16#17	5.73#5.81#5.81#5.81#5.81#5.81#5.7#5.7#5.59#5.59#5.59#5.59#5.38#5.38#5.9#5.8#5.8#5.72#5.72#5.72#5.72#5.54#5.18#5.28#5.55#5.55#5.55#5.46#5.45#5.35	5#5#5#5#5#5#5#5#5#5#5#5#5#5#6#6#6#6#6#6#6#6#5#5#5#5#5#5#5#5	11#10#10#10#10#10#13#13#21#22#22#22#29#30#45#48#49#48#48#48#48#82#83#86#61#68#68#73#77#78	183.0#175.0#177.0#177.0#177.0#179.0#195.0#195.0#239.0#250.0#249.0#247.0#330.0#333.0#456.0#472.0#477.0#482.0#472.0#482.0#472.0#786.0#773.0#798.0#606.0#622.0#622.0#640.0#706.0#736.0	76.17960357666016#76.94862365722656#76.86671447753906#76.86671447753906#76.86671447753906#76.80828857421875#74.69770812988281#74.69770812988281#71.9901351928711#71.26941680908203#71.2902603149414#71.34894561767578#66.21343994140625#66.1663818359375#57.89793014526367#56.7783317565918#56.713314056396484#56.19511032104492#56.55424499511719#56.19511032104492#56.55424499511719#45.38144302368164#46.34478759765625#45.3208122253418#50.255069732666016#50.06092071533203#50.06803894042969#49.38789749145508#47.63775634765625#46.411224365234375	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	6#5#5#5#5#5#5#5#6#6#6#6#9#9#12#12#12#12#12#12#12#27#25#27#20#20#20#20#22#22	0#76#125#151#151#154#163#165#191#193#193#196#239#419#552#582#645#658#719#719#719#1043#1256#1331#1335#1408#1503#1854#1960#2034	0#2#1#1#1#1#3#0#4#1#1#1#12#1#19#3#1#5#1#1#1#38#4#8#5#1#4#3#10#5	0#5#2#2#2#2#3#0#5#1#2#2#15#2#19#3#2#8#2#2#2#39#11#12#27#2#8#3#14#5	0#82#13#26#6#6#127#0#224#101#1#14#649#14#1063#139#28#111#65#65#65#2230#281#245#1253#108#67#260#975#233	0#82#13#26#6#6#127#0#224#101#1#14#649#14#1063#139#28#111#65#65#65#2230#281#249#1253#108#67#260#975#233	0#1#1#1#7#1#1#0#1#1#1#1#1#1#2#2#1#1#1#1#1#1#1#1#3#1#1#2#2#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#1#0#1#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0#0#0#0#0#0#0#0#0#0#1#0#1#0#0#0#0#0#0#0#0#0	58512.23#53355.074#55557.184#55557.184#55557.184#57522.684#71270.33#71270.33#109117.77#105824.91#110677.6#112926.29#178817.69#180443.3#315094.62#343493.16#356076.16#362672.72#334335.9#362672.72#334335.9#792933.94#845657.44#914679.2#545121.4#614535.06#607618.3#669426.4#759978.7#810526.9	3250.6794#2964.171#3086.5103#3086.5103#3086.5103#3195.7046#3959.4626#3959.4626#6062.0986#5879.1616#6148.756#6273.6826#9934.316#10024.628#17505.258#19082.953#19782.008#20148.484#18574.217#20148.484#18574.217#44051.887#46980.97#50815.51#30284.521#34140.836#33756.574#37190.355#42221.04#45029.27	1076.5237#1016.2871#1032.4215#1032.4215#1032.4215#1044.0873#1151.8436#1151.8436#1454.9037#1547.4562#1541.2664#1523.9716#2109.4646#2128.6416#3067.9316#3188.307#3228.4238#3274.9084#3194.583#3274.9084#3194.583#5681.8516#5617.226#5842.8984#4314.0786#4478.1963#4472.071#4626.4443#5150.002#5388.939	0.35884124#0.33876237#0.3441405#0.3441405#0.3441405#0.3480291#0.38394788#0.38394788#0.4849679#0.5158187#0.51375544#0.50799054#0.70315486#0.7095472#1.0226439#1.0627689#1.0761412#1.0916362#1.064861#1.0916362#1.064861#1.8939505#1.8724087#1.9476328#1.4380262#1.492732#1.4906902#1.5421481#1.7166673#1.796313	54.352943#52.5#53.8125#53.8125#53.8125#55.09375#61.875#61.875#75.0#68.38637#71.809525#74.1#84.769226#84.769226#102.70589#107.73529#110.29411#110.74286#104.657135#110.74286#104.657135#139.55556#150.54716#156.54546#126.358696#137.22826#135.86957#144.69565#147.56862#150.40565	allocate.json
4235	3	0.923893928527832	0.9384720879901919	0	0	0	1	1.89	0	0	12.0	133.59722900390625	0	0	0	0	0	0	0	0	0	0	0	0	186.80931	10.378295	41.51318	0.013837727	4.5	getGroup.json
5048	12#12#12#7	0.295730859041214#0.019293732941150665#0.019293732941150665#0.04497011378407478	0.6242824080442774#0.18932578731634023#0.18932578731634023#0.42787288024992853	1#2#2#2	1#2#2#2	2#4#4#4	2#2#2#2	3.7#3.7#3.7#2.8	2#2#2#1	3#6#6#4	44.0#55.0#55.0#37.0	102.75836944580078#101.4615478515625#101.4615478515625#112.62823486328125	0#0#0#0	0#0#0#0	0#0#0#0	0#11#323#1541	0#4#0#3	0#8#0#11	0#169#0#106	0#169#0#106	0#1#0#1	0#0#0#0	0#1#0#1	0#1#0#1	2507.8625#4022.7402#4022.7402#1812.3285	139.3257#223.48557#223.48557#100.68491	199.03673#255.41208#255.41208#159.91133	0.06634557#0.08513736#0.08513736#0.05330378	12.599999#15.75#15.75#11.333334	getFinalApplicationStatus.json
3489	6#6	0.3073602616786957#0.2703635096549988	0.6649640695094058#0.5240349482967674	1#1	1#1	2#2	2#2	2.75#2.75	1#1	3#3	29.0#31.0	116.6823501586914#116.231689453125	0#0	0#0	0#0	0#880	0#1	0#2	0#23	0#23	0#2	0#0	0#1	0#1	1106.34#1131.0923	61.463333#62.83846	118.53642#129.26768	0.039512143#0.04308923	9.333334#8.75	getExecutionType.json
3981	5#5#5	0.0028322876896709204#0.0028322876896709204#0.0028322876896709204	0.025997532113362067#0.025997532113362067#0.025997532113362067	0#0#0	0#0#0	0#0#0	1#1#1	1.96#1.96#1.96	0#0#0	2#2#2	51.0#51.0#51.0	116.33314514160156#116.33314514160156#116.33314514160156	0#0#0	3#3#3	1#1#1	0#34#244	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#0#0	0#0#0	0#0#0	3858.2458#3858.2458#3858.2458	214.34698#214.34698#214.34698	233.83308#233.83308#233.83308	0.07794436#0.07794436#0.07794436	16.5#16.5#16.5	chooseStorageTypes.json
5080	9#9#9	0.07987198978662491#0.07987198978662491#0.07987198978662491	0.4990646521533602#0.4990646521533602#0.4990646521533602	0#0#0	0#0#0	0#0#0	1#1#1	2.95#2.95#2.95	1#1#1	3#3#3	39.0#39.0#39.0	108.35033416748047#108.35033416748047#108.35033416748047	0#0#0	1#1#1	0#0#0	0#6#355	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	0#0#0	2347.8906#2347.8906#2347.8906	130.43837#130.43837#130.43837	173.91783#173.91783#173.91783	0.05797261#0.05797261#0.05797261	13.5#13.5#13.5	getRMAppAttempt.json
2066	3	0.7836160063743591	0.8391048271367476	0	0	0	1	1.89	0	0	15.0	131.9385528564453	0	0	0	0	0	0	0	0	0	0	0	0	314.10678	17.450377	57.110325	0.019036775	5.5	getLayers.json
3787	7	1.6719495761208236E-4	2.9909687222251908E-5	1	1	2	2	1.81	0	5	82.0	107.24433135986328	0	2	3	0	0	0	0	0	0	0	0	0	7062.024	392.33466	450.33197	0.15011066	15.681818	assignContainer.json
